name,method,category,mentions,length,gender
William Philip Hiern,wikidata,maths,2,1608,male
Charles Howard Hinton,spacy,maths,45,8724,male
Charles Howard Hinton,wikidata,maths,14,8724,male
Thomas Hornsby,spacy,maths,10,3600,male
Thomas Hornsby,wikidata,maths,11,3600,male
James Ivory (mathematician),spacy,maths,7,3480,male
James Ivory (mathematician),wikidata,maths,2,3480,male
George Jerrard,spacy,maths,2,528,male
George Jerrard,wikidata,maths,1,528,male
George Johnson (priest),spacy,maths,5,1478,male
George Johnson (priest),wikidata,maths,1,1478,male
John Viriamu Jones,spacy,maths,18,2748,male
John Viriamu Jones,wikidata,maths,6,2748,male
Patrick Kelly (metrologist),spacy,maths,7,1062,male
Patrick Kelly (metrologist),wikidata,maths,6,1062,male
Joseph Larmor,spacy,maths,23,11622,male
Joseph Larmor,wikidata,maths,11,11622,male
Augustus Edward Hough Love,spacy,maths,9,1974,male
Augustus Edward Hough Love,wikidata,maths,1,1974,male
William Herrick Macaulay,spacy,maths,6,834,male
William Herrick Macaulay,wikidata,maths,5,834,male
Alexander Macfarlane,spacy,maths,21,4939,male
Alexander Macfarlane,wikidata,maths,12,4939,male
Isabel Maddison,spacy,maths,20,5129,female
Isabel Maddison,wikidata,maths,4,5129,female
Alexander McAulay,spacy,maths,10,2232,male
Alexander McAulay,wikidata,maths,6,2232,male
Donald McIntosh (mathematician),spacy,maths,7,928,male
Donald McIntosh (mathematician),wikidata,maths,3,928,male
Margaret Meyer,spacy,maths,11,2104,female
Margaret Meyer,wikidata,maths,4,2104,female
Frank Morley,spacy,maths,11,2027,male
Frank Morley,wikidata,maths,12,2027,male
Robert Murphy (mathematician),spacy,maths,15,3856,male
Robert Murphy (mathematician),wikidata,maths,4,3856,male
William Davidson Niven,spacy,maths,10,1413,male
William Davidson Niven,wikidata,maths,6,1413,male
John Playfair,spacy,maths,25,4645,male
John Playfair,wikidata,maths,19,4645,male
Arthur Stanley Ramsey,spacy,maths,18,1954,male
Arthur Stanley Ramsey,wikidata,maths,5,1954,male
Mary Rickett,spacy,maths,3,1077,female
Mary Rickett,wikidata,maths,1,1077,female
Ronald Ross,spacy,maths,62,21025,male
Ronald Ross,wikidata,maths,10,21025,male
Arthur Schuster,spacy,maths,33,7408,male
Arthur Schuster,wikidata,maths,18,7408,male
Archibald Smith,spacy,maths,25,2982,male
Archibald Smith,wikidata,maths,10,2982,male
Henry John Stephen Smith,spacy,maths,24,8279,male
Henry John Stephen Smith,wikidata,maths,6,8279,male
Mary Somerville,spacy,maths,94,25673,female
Mary Somerville,wikidata,maths,46,25673,female
Thomas Bond Sprague,spacy,maths,11,1601,male
Thomas Bond Sprague,wikidata,maths,3,1601,male
John Steggall,spacy,maths,16,2268,male
John Steggall,wikidata,maths,9,2268,male
Peter Tait (physicist),spacy,maths,37,9371,male
Peter Tait (physicist),wikidata,maths,20,9371,male
H. W. Lloyd Tanner,spacy,maths,8,1190,male
H. W. Lloyd Tanner,wikidata,maths,2,1190,male
William Wallace (mathematician),spacy,maths,19,3893,male
William Wallace (mathematician),wikidata,maths,8,3893,male
William Whewell,spacy,maths,52,19374,male
William Whewell,wikidata,maths,25,19374,male
Francis John Welsh Whipple,spacy,maths,6,1147,male
Francis John Welsh Whipple,wikidata,maths,2,1147,male
Charles Thomas Whitmell,spacy,maths,14,4927,male
Charles Thomas Whitmell,wikidata,maths,3,4927,male
William Henry Young,spacy,maths,5,1257,male
William Henry Young,wikidata,maths,3,1257,male
Udny Yule,spacy,maths,24,7021,male
Udny Yule,wikidata,maths,15,7021,male
