Karl Ludwig von Haller, 1, ['Thomas Carlyle']
Napoleon, 1, ['Thomas Carlyle']
E. T. A. Hoffmann, 1, ['Thomas Carlyle']
Frank Harris, 1, ['Thomas Carlyle']
Friedrich de la Motte Fouqué, 1, ['Thomas Carlyle']
Ludwig Tieck, 1, ['Thomas Carlyle']
Charles Gavan Duffy, 1, ['Thomas Carlyle']
George William Gordon, 1, ['Thomas Carlyle']
Geraldine Jewsbury, 1, ['Thomas Carlyle']
Helen Allingham, 1, ['Thomas Carlyle']
Charles Kingsley, 1, ['Thomas Carlyle']
Proust, 1, ['Thomas Carlyle']
Søren Kierkegaard, 1, ['Thomas Carlyle']
Sir Anthony de Rothschild, 1st Baronet, 1, ['Thomas Carlyle']
Carlyleisms, 1, ['Thomas Carlyle']
Edward Irving, 1, ['Thomas Carlyle']
Friedrich Schiller, 1, ['Thomas Carlyle']
Thackeray, 1, ['Thomas Carlyle']
Hegel, 1, ['Thomas Carlyle']
Robert Burns, 1, ['Thomas Carlyle']
Alfred, Lord Tennyson, 1, ['Thomas Carlyle']
Paul de Lagarde, 1, ['Thomas Carlyle']
Jean Paul, 1, ['Thomas Carlyle']
Walt Whitman, 1, ['Thomas Carlyle']
Thoreau, 1, ['Thomas Carlyle']
Herman Melville, 1, ['Thomas Carlyle']
Kitty Kirkpatrick, 1, ['Thomas Carlyle']
James Henry Leigh Hunt, 1, ['Thomas Carlyle']
Emily Dickinson, 1, ['Thomas Carlyle']
Friedrich Schlegel, 1, ['Thomas Carlyle']
Thomas Carlyle (lawyer), 1, ['Thomas Carlyle']
Richard Monckton Milnes, 1st Baron Houghton, 1, ['Thomas Carlyle']
John Mitchel, 1, ['Thomas Carlyle']
Amos Bronson Alcott, 1, ['Thomas Carlyle']
George Fitzhugh, 1, ['Thomas Carlyle']
Samuel Butler (novelist), 1, ['Thomas Carlyle']
Mark Twain, 1, ['Thomas Carlyle']
Edward Eyre, 1, ['Thomas Carlyle']
Mustafa Kemal Atatürk, 1, ['T. H. Green']
Woodrow Wilson, 1, ['T. H. Green']
J. H. Muirhead, 1, ['T. H. Green']
Georges Clemenceau, 1, ['T. H. Green']
Charlotte Byron Green, 1, ['T. H. Green']
David George Ritchie, 1, ['T. H. Green']
Herbert Samuel, 1st Viscount Samuel, 1, ['T. H. Green']
John Dewey, 1, ['T. H. Green']
Mohammad Mossadegh, 1, ['T. H. Green']
Pringle Pattison, 1, ['T. H. Green']
Samuel Alexander, 1, ['T. H. Green']
Benjamin Jowett, 1, ['T. H. Green']
Andrew Cecil Bradley, 1, ['T. H. Green']
F. D. Maurice, 1, ['T. H. Green']
H. H. Asquith, 1, ['T. H. Green']
John Cook Wilson, 1, ['T. H. Green']
R. L. Nettleship, 1, ['T. H. Green']
Leandro N. Alem, 1, ['T. H. Green']
G. H. Lewes, 1, ['T. H. Green']
Theodore Roosevelt, 1, ['T. H. Green']
James Hutchison Stirling, 1, ['Sir William Hamilton, 9th Baronet']
William Brodie (sculptor), 1, ['Sir William Hamilton, 9th Baronet']
John Veitch (poet), 1, ['Sir William Hamilton, 9th Baronet']
Victor Cousin, 1, ['Sir William Hamilton, 9th Baronet']
William Hamilton (physician), 1, ['Sir William Hamilton, 9th Baronet']
Thomas Hamilton (writer), 1, ['Sir William Hamilton, 9th Baronet']
Augustus de Morgan, 1, ['Sir William Hamilton, 9th Baronet']
Wilhelm Esser, 1, ['Sir William Hamilton, 9th Baronet']
14052, 1, ['Sir William Hamilton, 9th Baronet']
James Frederick Ferrier, 1, ['Samuel Bailey']
Walter Baldwin Spencer, 1, ['Samuel Alexander']
George Curzon, 1st Marquess Curzon of Kedleston, 1, ['Samuel Alexander']
J. W. Mackail, 1, ['Samuel Alexander']
Henry Nettleship, 1, ['Samuel Alexander']
Hugo Münsterberg, 1, ['Samuel Alexander']
Arthur Blackburne Poynton, 1, ['Samuel Alexander']
Martin Howy Irving, 1, ['Samuel Alexander']
A. N. Whitehead, 1, ['Samuel Alexander']
Catherine Isabella Dodd, 1, ['Samuel Alexander']
Naomi Mitchison, 1, ['Samuel Alexander']
Jacob Epstein, 1, ['Samuel Alexander']
George William Foote, 1, ['Robert Lewins']
Constance Naden, 1, ['Robert Lewins']
E. Cobham Brewer, 1, ['Robert Lewins']
George Jardine, 1, ['Robert Buchanan (playwright)']
Robert Williams Buchanan, 1, ['Robert Buchanan (playwright)']
James Mylne, 1, ['Robert Buchanan (playwright)']
Friedrich von Hermann, 1, ['Robert Adamson (philosopher)']
Stanton Coit, 1, ['Robert Adamson (philosopher)']
Henry Calderwood, 1, ['Robert Adamson (philosopher)']
Friedrich Eduard Beneke, 1, ['Robert Adamson (philosopher)']
Sarah Gough Adamson, 1, ['Robert Adamson (philosopher)']
Eyton, Thomas Campbell, 1, ['Robert Adamson (philosopher)']
W. S. Jevons, 1, ['Robert Adamson (philosopher)']
